month,merchant_key,merchant_name,owner,merchant_scale,priority_level,current_gmv,previous_gmv,gmv_change_abs,gmv_loss,gmv_mom,gmv_rank_current,gmv_rank_change,previous_gmv_share,diagnostic_dimensions,data_quality_status,metric_quality_status,merchant_mapping_status,aftersales_rate,attention_reasons
2026-01,ID:12823,众维器械,负责人 B,LONG_TAIL,WATCHLIST,0.0,0.0,0.0,0.0,,82.0,1.0,0.0,Relative Position,NO_ALERT,MISSING,ID_MATCHED,,Relative Position: 排名变化1，同月分位9.6%
2026-01,ID:12947,江西省战狼商贸,负责人 B,KEY,PRIORITY,96990.01,396016.33,-299026.32,299026.32,-0.7550858319403142,37.0,29.0,0.029047247141528,Trend|Scale / Impact|Relative Position|Service,NO_ALERT,MISSING,NAME_MATCHED,0.0213414634146341,Trend: GMV环比-75.5%；Scale / Impact: GMV损失299026.32，上月区域占比2.9%；Relative Position: 排名变化29，同月分位63.6%；Service: 售后率2.1%，环比变化183.6%
2026-01,ID:12980,有之源旗舰店,负责人 B,MID,PRIORITY,8197.34,88268.82,-80071.48000000001,80071.48000000001,-0.9071320994208374,69.0,30.0,0.006474395208478,Trend|Scale / Impact|Relative Position,NO_ALERT,MISSING,NAME_MATCHED,0.0,Trend: GMV环比-90.7%；Scale / Impact: GMV损失80071.48，上月区域占比0.6%；Relative Position: 排名变化30，同月分位31.3%
2026-01,ID:13094,四川唤初新材料,负责人 B,LONG_TAIL,WATCHLIST,0.0,0.0,0.0,0.0,,82.0,1.0,0.0,Relative Position,NO_ALERT,MISSING,ID_MATCHED,,Relative Position: 排名变化1，同月分位9.6%
2026-01,ID:13249,成都锦莱源商贸,负责人 B,LONG_TAIL,WATCHLIST,0.0,0.0,0.0,0.0,,82.0,1.0,0.0,Relative Position,NO_ALERT,MISSING,ID_MATCHED,,Relative Position: 排名变化1，同月分位9.6%
2026-01,ID:1350,希尔康,负责人 B,KEY,PRIORITY,410584.02,414147.85,-3563.829999999958,3563.829999999958,-0.0086052118826644,5.0,-2.0,0.0303771689214999,Trend|Scale / Impact,NO_ALERT,MISSING,NAME_MATCHED,0.0152838427947598,Trend: GMV环比-0.9%，连续下降3个月；Scale / Impact: GMV损失3563.83，上月区域占比3.0%
2026-01,ID:13778,众维堂器械,负责人 B,MID,NO_PRIORITY,86731.35,119876.39,-33145.03999999999,33145.03999999999,-0.2764934779901196,39.0,4.0,0.0087927665173913,,NO_ALERT,MISSING,NAME_MATCHED,0.007168458781362,
2026-01,ID:14256,四川瑞锦医药科技,负责人 B,LONG_TAIL,WATCHLIST,2024.4,3218.58,-1194.1799999999998,1194.1799999999998,-0.3710269746285628,77.0,1.0,0.0002360783675379,Service,NO_ALERT,MISSING,NAME_MATCHED,0.1176470588235294,Service: 售后率11.8%，环比变化229.4%
2026-01,ID:14726,四川然柠安,负责人 B,MID,NO_PRIORITY,130047.27,149486.89,-19439.62000000001,19439.62000000001,-0.1300423067200073,30.0,1.0,0.0109646555187469,,NO_ALERT,MISSING,ID_MATCHED,0.0146604938271604,
2026-01,ID:14782,四川弗佑斯贸易,负责人 B,KEY,WATCHLIST,251096.29,295697.13,-44600.84,44600.84,-0.1508328471094731,18.0,2.0,0.0216889733162027,Scale / Impact,NO_ALERT,MISSING,NAME_MATCHED,0.010326311441553,Scale / Impact: GMV损失44600.84，上月区域占比2.2%
2026-01,ID:1513,长盛医药科技,负责人 B,MID,WATCHLIST,5715.9,4800.5,915.3999999999996,0.0,0.1906884699510467,72.0,-2.0,0.0003521099998651,Service,NO_ALERT,MISSING,NAME_MATCHED,0.0851063829787234,Service: 售后率8.5%，环比变化53.2%
2026-01,ID:15134,【退店公示中】成都宝和堂科技,负责人 B,LONG_TAIL,WATCHLIST,0.0,0.0,0.0,0.0,,82.0,1.0,0.0,Relative Position,NO_ALERT,MISSING,ID_MATCHED,,Relative Position: 排名变化1，同月分位9.6%
2026-01,ID:15251,四川宜初霁,负责人 B,KEY,ATTENTION,427871.59,311103.83,116767.76,0.0,0.3753337270068324,4.0,-10.0,0.0228190333380593,Scale / Impact|Service,NO_ALERT,MISSING,NAME_MATCHED,0.0731194108364018,Scale / Impact: GMV损失0.00，上月区域占比2.3%；Service: 售后率7.3%，环比变化21.5%
